ri_item_id,count
nic.in/353f7cb4adcc6d5b14a408b0d34076046994e422/rs.iudx.org.in/chandigarh-smartbike-docking-info/smartbike-damage-info,0
nic.in/353f7cb4adcc6d5b14a408b0d34076046994e422/rs.iudx.org.in/chandigarh-smartbike-docking-info/smartbike-ride-info,0
kerala.gov.in/5fc7328fcef461b294ea12d88aafc79585bf9b96/rs.iudx.org.in/kannur-road-network/road-segment-info,0
nic.in/353f7cb4adcc6d5b14a408b0d34076046994e422/rs.iudx.org.in/chandigarh-smartbike-docking-locations/station-locations,0
nic.in/353f7cb4adcc6d5b14a408b0d34076046994e422/rs.iudx.org.in/chandigarh-smartbike-docking-info/slot-availability-info,0
rmc.gov.in/c344cf2cb2ec9f694ba84e2121b07ab12039837c/rs.iudx.org.in/rajkot-point-of-interests/wifi-locations,0
rmc.gov.in/c344cf2cb2ec9f694ba84e2121b07ab12039837c/rs.iudx.org.in/rajkot-point-of-interests/led-locations,0
rmc.gov.in/c344cf2cb2ec9f694ba84e2121b07ab12039837c/rs.iudx.org.in/rajkot-point-of-interests/atcs-locations,0
rmc.gov.in/c344cf2cb2ec9f694ba84e2121b07ab12039837c/rs.iudx.org.in/rajkot-point-of-interests/anti-hawking-camera-locations,0
rmc.gov.in/c344cf2cb2ec9f694ba84e2121b07ab12039837c/rs.iudx.org.in/rajkot-point-of-interests/anpr-locations,0
rmc.gov.in/c344cf2cb2ec9f694ba84e2121b07ab12039837c/rs.iudx.org.in/rajkot-point-of-interests/env-sensor-locations,0
rmc.gov.in/c344cf2cb2ec9f694ba84e2121b07ab12039837c/rs.iudx.org.in/rajkot-point-of-interests/pa-locations,0
nic.in/353f7cb4adcc6d5b14a408b0d34076046994e422/rs.iudx.org.in/chandigarh-itms-info/bus-stops-info,10
nic.in/353f7cb4adcc6d5b14a408b0d34076046994e422/rs.iudx.org.in/chandigarh-itms-info/vehicle-info,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/ecb-locations,0
datakaveri.org/2e06b7688640758f8dc08e79f3715d74e6f31f94/rs.iudx.org.in/dharamshala-point-of-interests/waste-bin-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/pa-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/aqm-sensor-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/cctv-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/atcs-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/vmsb-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/swm-bin-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/svd-locations,0
