ri_item_id,count
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/cctv-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/atcs-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/vmsb-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/swm-bin-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/svd-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/smartpole-locations,0
gujarat.gov.in/25fe0b1811bf2ab8ee626db19f84d4a2fa4ccb9e/rs.iudx.org.in/gandhinagar-point-of-interests/rlvd-locations,0
datakaveri.org/2e06b7688640758f8dc08e79f3715d74e6f31f94/rs.iudx.org.in/dharamshala-point-of-interests/park-locations,0
datakaveri.org/2e06b7688640758f8dc08e79f3715d74e6f31f94/rs.iudx.org.in/dharamshala-point-of-interests/government-building-locations,0
datakaveri.org/2e06b7688640758f8dc08e79f3715d74e6f31f94/rs.iudx.org.in/dharamshala-point-of-interests/goverenment-building-locations,0
datakaveri.org/e394655e381dcc5c2a7260dc7bd0f196f664d95c/rs.iudx.org.in/shimla-public-schemes/shimla-wcd-schemes,0
ahmedabadcity.gov.in/916dcebcea50b550f573d5e39a2518d8a4ff30d1/rs.iudx.org.in/ahmedabad-point-of-interests/pa-locations,0
ahmedabadcity.gov.in/916dcebcea50b550f573d5e39a2518d8a4ff30d1/rs.iudx.org.in/ahmedabad-point-of-interests/atcs-locations,0
ahmedabadcity.gov.in/916dcebcea50b550f573d5e39a2518d8a4ff30d1/rs.iudx.org.in/ahmedabad-point-of-interests/wifi-locations,0
ahmedabadcity.gov.in/916dcebcea50b550f573d5e39a2518d8a4ff30d1/rs.iudx.org.in/ahmedabad-point-of-interests/vmd-locations,0
ahmedabadcity.gov.in/916dcebcea50b550f573d5e39a2518d8a4ff30d1/rs.iudx.org.in/ahmedabad-point-of-interests/traffic-camera-locations,0
pcmcindia.gov.in/d6b9c76cf48cd740de64b573ae6fa5f334df6ef6/rs.iudx.org.in/pimpri-chinchwad-point-of-interests/wifi-locations,0
kerala.gov.in/5fc7328fcef461b294ea12d88aafc79585bf9b96/rs.iudx.org.in/kannur-ev-charging-stations/station-locations,0
pcmcindia.gov.in/d6b9c76cf48cd740de64b573ae6fa5f334df6ef6/rs.iudx.org.in/pimpri-chinchwad-point-of-interests/digital-kiosk-locations,0
pcmcindia.gov.in/d6b9c76cf48cd740de64b573ae6fa5f334df6ef6/rs.iudx.org.in/pimpri-chinchwad-point-of-interests/ecb-locations,0
pcmcindia.gov.in/d6b9c76cf48cd740de64b573ae6fa5f334df6ef6/rs.iudx.org.in/pimpri-chinchwad-point-of-interests/pa-locations,0
ccmc.gov.in/47545f1de4dd2bd726019fd40f3686487e741eb7/rs.iudx.org.in/coimbatore-point-of-interests/aqm-sensor-locations,0
pcmcindia.gov.in/d6b9c76cf48cd740de64b573ae6fa5f334df6ef6/rs.iudx.org.in/pimpri-chinchwad-point-of-interests/vmsb-locations,0
gvsccl.in/e9da8ac8e57c965f51c068bf8c152f4c1d53e5e4/rs.iudx.org.in/visakhapatnam-swm-vehicles/live-locations,0
srinagarsmartcity.in/bd95482f347e6a906fdf687d66d8ad79cdc047ba/rs.iudx.org.in/srinagar-point-of-interests/vmsb-locations,0
yaana.bike/b9fae846198ebc81fdeb9494f003c5051681c42e/rs.iudx.org.in/tumakuru-bike-docking-stations/yaana-station-locations,0
yaana.bike/b9fae846198ebc81fdeb9494f003c5051681c42e/rs.iudx.org.in/tumakuru-bike-docking-stations/yaana-bikes-availability-info,0
gvsccl.in/e9da8ac8e57c965f51c068bf8c152f4c1d53e5e4/rs.iudx.org.in/visakhapatnam-citizen-app/civic-issues,0
nic.in/353f7cb4adcc6d5b14a408b0d34076046994e422/rs.iudx.org.in/chandigarh-emergency-vehicles/ambulance-live,0
tn.gov.in/acda599e0ff80280064077bda7e685e1e45007f8/rs.iudx.org.in/thoothukudi-road-network/road-segment-info,0
smartcitytumakuru.in/bacef936f16d106508f821f0f4345c7c360c9ff3/rs.iudx.org.in/tumakuru-point-of-interests/pa-locations,0
smartcitytumakuru.in/bacef936f16d106508f821f0f4345c7c360c9ff3/rs.iudx.org.in/tumakuru-point-of-interests/vmsb-locations,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-revenue-collection/trade-license-count,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-point-of-interests/waste-pickup-points,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-itms-additional-info/bus-stops-info,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-point-of-interests/digital-kiosk-locations,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-itms-additional-info/bus-route-info,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-revenue-collection/zone-wise-assessment,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-point-of-interests/wifi-locations,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-point-of-interests/vms-locations,0
gov.in/dd81437d71e193a1a950cb40f11c42357957bbb1/rs.iudx.org.in/bhubaneswar-point-of-interests/pa-locations,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-distribution/water-pressure,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-point-of-interests/wifi-locations,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-distribution/water-ph-level,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-distribution/water-turbidity-level,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-distribution/water-level,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-distribution/water-flow,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-distribution/water-discharge,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-additional-info/reservoir-locations,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-additional-info/reservoir-dimensions,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-point-of-interests/vms-locations,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-water-distribution/water-chlorine-level,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-emergency-vehicles/ambulance-live,0
vmc.gov.in/ae95ac0975a80bd4fd4127c68d3a5b6f141a3436/rs.iudx.org.in/vadodara-emergency-vehicles/108-ambulance-live,0
suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,3290
